Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,109.96,110.5,108.27,109.23,867500.0,103.92,0.0,103.92,103.92
2016-01-05,2016,1,5,Tuesday,01,2016-01,109.23,110.63,109.23,109.93,809000.0,104.58,0.006408593659201323,104.25,104.25
2016-01-06,2016,1,6,Wednesday,01,2016-01,107.89,110.04,107.58,109.77,901800.0,104.43,-0.001455527089093911,104.31,104.31
2016-01-07,2016,1,7,Thursday,01,2016-01,108.0,109.49,106.73,106.75,963100.0,101.56,-0.02751217014688334,103.6225,103.6225
2016-01-08,2016,1,8,Friday,01,2016-01,107.09,109.8,107.02,108.97,1002200.0,103.67,0.02079652227114348,103.63199999999999,103.63199999999999
2016-01-11,2016,1,11,Monday,02,2016-02,109.19,110.1,105.25,106.22,1025000.0,101.05,-0.025236452372133344,103.20166666666665,103.20166666666665
2016-01-12,2016,1,12,Tuesday,02,2016-02,106.62,109.98,106.62,109.76,905500.0,104.42,0.0333271197283167,103.37571428571427,103.37571428571427
2016-01-13,2016,1,13,Wednesday,02,2016-02,109.71,110.64,107.64,107.96,1449300.0,102.71,-0.016399602792551593,103.29249999999999,103.29249999999999
2016-01-14,2016,1,14,Thursday,02,2016-02,107.97,108.24,104.8,107.14,791900.0,101.93,-0.0075951762938567535,103.14111111111112,103.14111111111112
2016-01-15,2016,1,15,Friday,02,2016-02,105.16,105.33,101.01,104.16,1671900.0,99.09,-0.027814084738975398,102.73599999999999,102.73599999999999
2016-01-19,2016,1,19,Tuesday,03,2016-03,104.66,106.32,103.78,104.92,728900.0,99.82,0.007296359527197538,102.47090909090907,102.47090909090907
2016-01-20,2016,1,20,Wednesday,03,2016-03,103.22,107.02,101.3,106.46,1033200.0,101.28,0.0146777981391919,102.37166666666666,102.37166666666666
2016-01-21,2016,1,21,Thursday,03,2016-03,106.7,108.49,105.43,107.71,1205400.0,102.47,0.011741495609622676,102.37923076923076,102.37923076923076
2016-01-22,2016,1,22,Friday,03,2016-03,108.49,111.8,108.3,111.6,1499900.0,106.17,0.036115609022878914,102.64999999999999,102.64999999999999
2016-01-25,2016,1,25,Monday,04,2016-04,111.96,112.0,110.3,110.73,882700.0,105.34,-0.007795780249913897,102.75142857142855,102.82933333333332
2016-01-26,2016,1,26,Tuesday,04,2016-04,110.77,112.69,110.29,112.17,528600.0,106.71,0.013004595182445788,102.90357142857142,103.07187499999999
